Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Stary kod stacji;WskaŸnik;Czas uœredniania;Œrednia;Min;Maks;Liczba pomiarów;Kompletnoœæ ;Liczba Lato/Zima
2009;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;SlKatowKato_kossu;PM2.5;1g;37,0;1,0;267,0;4427;50,5;1,1
2009;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;SlKatowKato_kossu;PM2.5;24g;29,9;5,0;94,0;249;68,2;1,1
2009;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlZabSkloCur;SlZabrzZabr_sklod;PM2.5;1g;34,6;1,0;614,0;8023;91,6;0,9
2009;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlZabSkloCur;SlZabrzZabr_sklod;PM2.5;24g;39,9;2,2;259,4;329;90,1;1,2
2009;œl¹skie;PL2402;Aglomeracja Rybnicko-Jastrzêbska;SlZorySikors;SlZoryzZory_sikor;PM2.5;24g;33,9;5,0;205,0;352;96,4;0,9
2009;warmiñsko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;WmOlsztyWIOS_Puszkin;PM2.5;1g;16,0;0,2;214,0;4038;46,1;1,3
2009;warmiñsko-mazurskie;PL2803;strefa warmiñsko-mazurska;WmPuszczaBor;WmPuszcz_IOS_Borecka;PM2.5;24g;13,2;0,3;104,8;363;99,5;1,0
2009;wielkopolskie;PL3001;Aglomeracja Poznañska;WpPoznPolank;WpWKP001;PM2.5;1g;26,2;0,4;217,1;8682;99,1;1,0
2009;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczAndr01;ZpSzczecin001;PM2.5;1g;19,0;2,0;111,0;3236;36,9;0,8
2009;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczPils02;ZpSzczecin002;PM2.5;1g;20,4;0,0;327,0;7340;83,8;1,0
2010;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocNaGrob;DsWrocGrobla;PM2.5;24g;31,9;0,2;202,0;338;92,6;1,1
2010;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocWybCon;DsWrocKorzA;PM2.5;1g;27,3;2,0;248,0;7855;89,7;1,2
2010;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocWybCon;DsWrocKorzA;PM2.5;24g;37,6;4,5;214,4;364;99,7;1,0
2010;dolnoœl¹skie;PL0202;miasto Legnica;DsLegAlRzecz;DsLegRzeczA;PM2.5;24g;30,8;5,0;218,0;321;87,9;1,1
2010;dolnoœl¹skie;PL0203;miasto Wa³brzych;DsWalbrzWyso;DsWalbWysA;PM2.5;24g;27,9;2,0;156,0;338;92,6;1,2
2010;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsOsieczow21;DsOsieczow;PM2.5;24g;17,5;2,0;126,0;258;70,7;1,9
2010;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydBerling;KpBydgBerlinga;PM2.5;24g;19,9;1,6;90,8;228;62,5;1,5
2010;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;KpBydgWarszawska;PM2.5;1g;27,8;0,5;429,2;7389;84,3;0,8
2010;kujawsko-pomorskie;PL0402;miasto Toruñ;KpToruDziewu;KpTorunDziewulsk;PM2.5;1g;32,4;1,0;496,0;8661;98,9;1,0
2010;kujawsko-pomorskie;PL0402;miasto Toruñ;KpToruDziewu;KpTorunDziewulsk;PM2.5;24g;32,4;7,2;207,1;359;98,4;1,0
2010;kujawsko-pomorskie;PL0403;miasto W³oc³awek;KpWloclSiels;KpWloclSielska;PM2.5;24g;21,5;3,6;54,5;92;25,2;0,2
2010;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpZielBoryTu;KpZielBoryTuch;PM2.5;24g;19,5;1,0;76,5;363;99,5;1,0
2010;lubelskie;PL0601;Aglomeracja Lubelska;LbLubSliwins;LbLublin_Sliwins_5;PM2.5;24g;25,1;1,8;117,1;348;95,3;1,0
2010;lubelskie;PL0602;strefa lubelska;LbBiaPodOrze;LbBialaPOrzechowa;PM2.5;24g;27,0;4,0;285,0;354;97,0;1,0
2010;lubelskie;PL0602;strefa lubelska;LbChelJagiel;LbChelmJagWIOS;PM2.5;24g;24,0;3,7;157,0;347;95,1;1,0
2010;lubelskie;PL0602;strefa lubelska;LbZamoHrubie;LbZamoscHrubieszowsk;PM2.5;24g;25,9;2,5;224,2;358;98,1;1,0
2010;lubuskie;PL0801;miasto Gorzów Wielkopolski;LuGorzPilsud;LuGorzowWIOS_MAN;PM2.5;24g;18,8;1,8;101,4;357;97,8;1,1
2010;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;LuZgoraWIOS_AUT;PM2.5;1g;27,2;0,0;349,0;8072;92,1;1,1
2010;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;LuZgoraWIOS_AUT;PM2.5;24g;25,5;4,0;128,0;217;59,5;0,9
2010;lubuskie;PL0803;strefa lubuska;LuWsKaziWiel;LuWschowWIOS_AUT;PM2.5;24g;24,1;4,0;184,0;331;90,7;1,2
2010;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzCzerni;LdLodzWIOSACzernik;PM2.5;1g;31,8;1,0;236,0;8560;97,7;1,0
